timestamp,cz,c4,label
1777796224.022304,0.6010742,0.6015137,rest
1777796224.0295577,0.6012207,0.6015137,rest
1777796224.037245,0.60112304,0.6017578,rest
1777796224.0450482,0.60112304,0.6017578,rest
1777796224.0517044,0.6010742,0.4024414,rest
1777796224.0596476,0.6010742,0.6016113,rest
1777796224.064722,0.401709,0.601416,rest
1777796224.0729213,0.40185548,0.60117184,rest
1777796224.079596,0.40185548,0.60117184,rest
1777796224.087432,0.40195312,0.6013672,rest
1777796224.0961003,0.40195312,0.60126952,rest
1777796224.1034446,0.40195312,0.4026367,rest
1777796224.1122818,0.60126952,0.60195316,rest
1777796224.120831,0.40190428,0.40278324,rest
1777796224.1267548,0.60126952,0.6019043,rest
1777796224.1343074,0.4017578,0.40302744,rest
1777796224.141347,0.6008789,0.6018555,rest
1777796224.1492193,0.55492176,0.6018555,rest
1777796224.1545014,0.754287,0.6018555,rest
1777796224.1609364,0.754287,0.6018555,rest
1777796224.168898,0.75467768,0.60146484,rest
1777796224.1761236,0.7549218,0.60146484,rest
1777796224.1821811,0.6015137,0.4020996,rest
1777796224.1890411,0.4020508,0.40219728,rest
1777796224.1959035,0.4017578,0.40219728,rest
1777796224.2038882,0.40151368,0.40239264,rest
1777796224.2112908,0.40151368,0.4021973,rest
1777796224.2172682,0.4020508,0.4021973,rest
1777796224.2252345,0.6015137,0.60126952,rest
1777796224.2327514,0.56962232,0.60126952,rest
1777796224.2418623,0.76898752,0.800097636,rest
1777796224.2487493,0.5700618,0.6008789,rest
1777796224.2568028,0.7688899,0.80024416,rest
1777796224.2642906,0.7688899,0.80024416,rest
1777796224.2695951,0.601709,0.601416,rest
1777796224.2771845,0.601709,0.6017578,rest
1777796224.2837522,0.60126952,0.6020996,rest
1777796224.2907968,0.60126952,0.6020996,rest
1777796224.2980304,0.426028832,0.6017578,rest
1777796224.3048654,0.42593116,0.601416,rest
1777796224.3118525,0.42549172,0.601416,rest
1777796224.32042,0.42544288,0.6009277,rest
1777796224.3278754,0.42544288,0.6009277,rest
1777796224.3360667,0.40126952,0.40190428,rest
1777796224.3444395,0.60073244,0.6010742,rest
1777796224.3504903,0.40234376,0.401709,rest
1777796224.3581057,0.6017578,0.60117184,rest
1777796224.3644712,0.6017578,0.6010742,rest
1777796224.3708842,0.6017578,0.601416,rest
1777796224.3768146,0.6017578,0.601416,rest
1777796224.3838022,0.60126952,0.601416,rest
1777796224.3913217,0.60126952,0.6015137,rest
1777796224.398253,0.60126952,0.6016113,rest
1777796224.405905,0.60126952,0.60126952,rest
1777796224.4140432,0.53440756,0.60126952,rest
1777796224.4221666,0.53440756,0.60131836,rest
1777796224.430052,0.53440756,0.60131836,rest
1777796224.438524,0.33489584,0.40190428,rest
1777796224.4454265,0.53430984,0.60126952,rest
1777796224.4540057,0.40195312,0.40229492,rest
1777796224.4606924,0.60126952,0.6013672,rest
1777796224.4692242,0.40229492,0.40200196,rest
1777796224.476025,0.60180664,0.6010742,rest
1777796224.4826536,0.4024903,0.4020996,rest
1777796224.4890797,0.601709,0.6010742,rest
1777796224.4972954,0.60166016,0.60131836,rest
1777796224.503968,0.6012207,0.60131836,rest
1777796224.510498,0.6012207,0.6013672,rest
1777796224.5181923,0.6012207,0.60166016,rest
1777796224.5259,0.6012207,0.60166016,rest
1777796224.53343,0.40195312,0.4022461,rest
1777796224.5398366,0.6013672,0.601416,rest
1777796224.5469196,0.6013672,0.6016113,rest
1777796224.5538828,0.6015137,0.6008301,rest
1777796224.560708,0.6015137,0.6008301,rest
1777796224.5680115,0.601416,0.60117184,rest
1777796224.5747526,0.601416,0.60131836,rest
1777796224.5822203,0.4020508,0.40234376,rest
1777796224.5900688,0.6012207,0.60180664,rest
1777796224.59739,0.6012207,0.60180664,rest
1777796224.6042018,0.60131836,0.6015137,rest
1777796224.61109,0.60131836,0.6015625,rest
1777796224.6185193,0.60166016,0.60131836,rest
1777796224.6259055,0.60166016,0.6010254,rest
1777796224.632584,0.4022461,0.4020996,rest
1777796224.6409545,0.6015625,0.60146484,rest
1777796224.6477215,0.6015625,0.60146484,rest
1777796224.6537535,0.6012207,0.6016113,rest
1777796224.6607406,0.6012207,0.6019043,rest
1777796224.668763,0.60131836,0.6015137,rest
1777796224.6784377,0.60131836,0.60131836,rest
1777796224.6845276,0.4022461,0.40195312,rest
1777796224.6917765,0.6016113,0.60112304,rest
1777796224.698634,0.4025391,0.4017578,rest
1777796224.7063022,0.60185548,0.6008301,rest
1777796224.711549,0.437702,0.6010254,rest
1777796224.718966,0.43784848,0.6009766,rest
1777796224.726158,0.43784848,0.6009766,rest
1777796224.73238,0.4375555,0.6009766,rest
1777796224.739503,0.4375555,0.6012207,rest
1777796224.7462175,0.601709,0.6012207,rest
1777796224.753907,0.60195316,0.60126952,rest
1777796224.761802,0.60195316,0.6010742,rest
1777796224.7684126,0.6019043,0.60112304,rest
1777796224.7750378,0.6019043,0.60112304,rest
1777796224.7831018,0.40268556,0.40190428,rest
1777796224.7900796,0.6013672,0.60117184,rest
1777796224.796376,0.6013672,0.6013672,rest
1777796224.8024538,0.601416,0.60156256,rest
1777796224.8093994,0.601416,0.60141608,rest
1777796224.8168552,0.601416,0.60131836,rest
1777796224.8240464,0.601416,0.60112304,rest
1777796224.8313591,0.4020508,0.60063476,rest
1777796224.8377745,0.601416,0.7997559,rest
1777796224.843921,0.601416,0.7999023,rest
1777796224.8518336,0.60117184,0.80019532,rest
1777796224.8585985,0.6008789,0.8004883,rest
1777796224.8664722,0.60078124,0.6015625,rest
1777796224.8741026,0.60078124,0.6015625,rest
1777796224.8794343,0.401416,0.6015625,rest
1777796224.8868062,0.4020508,0.6012207,rest
1777796224.8946002,0.40234376,0.6012207,rest
1777796224.9019358,0.4024414,0.60126952,rest
1777796224.9091356,0.4024414,0.60126952,rest
1777796224.9151046,0.4024414,0.4024414,rest
1777796224.9232793,0.60126952,0.60180664,rest
1777796224.929634,0.4587533,0.6015137,rest
1777796224.937553,0.45880212,0.6016113,rest
1777796224.9459891,0.45880212,0.60126952,rest
1777796224.953538,0.4588998,0.60073244,rest
1777796224.9594812,0.4588998,0.600293,rest
1777796224.9667585,0.4024414,0.4012207,rest
